planner,goal_idx,goal_x,goal_y,goal_yaw,status,time_sec,path_length_m,min_clearance_m,collisions,avg_linear_vel,avg_angular_vel,heading_changes_rad
dwb,1,0.5,0.0,0.0,SUCCEEDED,66.46,3.005,0.344,0,0.0933,0.3838,0.164
dwb,2,-0.5,-1.0,1.57,SUCCEEDED,33.84,1.904,0.274,0,0.1189,0.468,-4.849
dwb,3,0.5,1.0,3.14,SUCCEEDED,35.79,2.654,0.348,0,0.1494,0.2463,4.443
dwb,4,-1.0,0.5,-1.57,SUCCEEDED,26.59,1.707,0.151,0,0.125,0.2537,3.411
dwb,5,-2.0,-0.5,0.0,SUCCEEDED,26.6,1.528,0.165,0,0.1111,0.3102,4.299
teb,1,0.5,0.0,0.0,SUCCEEDED,464.32,18.362,0.293,0,0.1161,0.7007,59.686
teb,2,-0.5,-1.0,1.57,SUCCEEDED,31.29,2.535,0.303,0,0.1784,0.5418,1.761
teb,3,0.5,1.0,3.14,SUCCEEDED,26.71,2.782,0.29,0,0.2063,0.4408,5.796
teb,4,-1.0,0.5,-1.57,SUCCEEDED,23.83,2.004,0.309,0,0.1954,0.4412,5.132
teb,5,-2.0,-0.5,0.0,SUCCEEDED,18.87,1.807,0.348,0,0.1976,0.5424,4.895
dwb,1,0.5,0.0,0.0,ABORTED,469.98,28.466,0.193,0,0.1318,0.4503,87.79
dwb,2,-0.5,-1.0,1.57,SUCCEEDED,22.78,2.608,0.242,0,0.1321,0.5942,5.79
dwb,3,0.5,1.0,3.14,SUCCEEDED,15.77,2.793,0.288,0,0.198,0.4693,6.58
dwb,4,-1.0,0.5,-1.57,SUCCEEDED,11.26,1.958,0.319,0,0.1966,0.4311,4.343
dwb,5,-2.0,-0.5,0.0,SUCCEEDED,11.07,1.9,0.347,0,0.1924,0.5049,4.964
dwb,1,0.5,0.0,0.0,SUCCEEDED,42.62,2.925,0.337,0,0.1522,0.1873,3.799
dwb,2,-0.5,-1.0,1.57,SUCCEEDED,61.3,1.924,0.322,0,0.0709,0.5677,14.418
dwb,3,0.5,1.0,3.14,SUCCEEDED,50.7,2.658,0.361,0,0.1491,0.2312,4.181
dwb,4,-1.0,0.5,-1.57,ABORTED,62.97,1.925,0.159,0,0.0807,0.2653,3.713
dwb,5,-2.0,-0.5,0.0,SUCCEEDED,39.64,1.714,0.375,0,0.126,0.2485,3.203
